Shop Name,Contact,Address,State,City,GST
Mayank Batra Makeover (Nagpur),919916755653,Bareilly,Maharashtra,Nagpur,
Charvi Palour (Hamirpur),919916684241,Sec 21,Himachal Pradesh,Hamirpur,
E3 Unisex Salon (Mumbai),919916676847,Nagarbhavi,Maharashtra,Mumbai,
Master Head Unisex Salon (Hisar),919916488287,Baraily model town,Haryana,Hisar,
Deepa'S Nail & Skin (Jammu),919916321111,A block,Jammu and Kashma«r,Jammu,
Enlivan Salon (Chandigarh),919916296766,Mall road,Punjab,Chandigarh,
Vismaya (Moga),919915596500,Shyamnagar,Punjab,Moga,
Cloud 9 Salon (Bangalore),919915499584,"Shoprix Mall, Block C, Sector 61, Noida, Uttar Pradesh 201301",Karnataka,Bangalore,
Cosmoline Unisex Salon (Bilaspur),919915087796,H.no 723 Saraswati vihar opp electricity board near m.g road gurgaon -12002,Chhattisgarh,Bilaspur,
Hair Secession Salon (Mumbai),919914429238,Khandwala,Maharashtra,Mumbai,
Ashwini Beauty Parlour (Pathankot),919914181181,JP nagar,Punjab,Pathankot,
Glitter Shop (Agra),919911138087,Sant Nagar chowk main 100 fUTa road,Uttar Pradesh,Agra,
Ambiance Salon Faridkot (Agra),919910621047,Zirakpur,Uttar Pradesh,Agra,
Hair De (Nagpur),919910048283,Sec 104  zara awas,Maharashtra,Nagpur,
Aalishan (Ferozepore),919909351655,Panki road,Punjab,Ferozepore,
Creative Cute Unisex Salon (Chandigarh),919905404505,Khirki extn,UT,Chandigarh,
Firoz Unisex Salon (Chandigarh),919905113824,"Shop No 12, Marriot Towers Urbtech Xaviers, Sector 168, Noida, Uttar Pradesh 201305",Punjab,Chandigarh,
Delight Salon (Lucknow),919903488118,Raj Nagar Ghaziabad,Uttar Pradesh,Lucknow,
Aswathi Beauty Salon (Maldah),919902645157,Jandala byepass,West Bengal,Maldah,
Disha Beauty Parlour (Allahabad),919902553573,Near lovi shade bridge,Uttar Pradesh,Allahabad,
Parul Makeuttar Pradesh Studio (MeerUT),919902257772,Besa road,Uttar Pradesh,MeerUT,
Luxkaya (Chandigarh),919901758878,kothiwal nagar,Punjab,Chandigarh,
Nisha Infinity (Erode),919901111400,"Mani bazar, zira",Tamil Nadu,Erode,
Krasmi Unisex Salon (Chandigarh),919901088551,Vikash nagar,Punjab,Chandigarh,
Blushing Ton Unisex Salon (Noida),919900567432,Gumanpura,Uttar Pradesh,Noida,
Jazzuttar Pradesh Beauty Parlor (Gorakhpur),919899573985,"Mani bazar, near baba fread, Faridkot",Uttar Pradesh,Gorakhpur,
Gazibo Salon Firozepur (Chandigarh),919899572234,Siddharth Nagar,UT,Chandigarh,
A-5 Salon (FARIDKOT),919899343343,bagnan bus stop,Punjab,FARIDKOT,
New Aeena (Kanpur),919898015252,Hatiya shingh more Ranchi,Uttar Pradesh,Kanpur,
Nuvaa Unisex Salon (Payyannur),919897842912,Kidwayi nagar near mini rose garden,Kerala,Payyannur,
Beauty Point Salon (Khatuli),919897816965,"i-20, Block I, Sector 12, Noida, Uttar Pradesh 201301",Uttar Pradesh,Khatuli,
Smile Salon (Muzaffarnagar),919897771571,UdhaMadhya Pradeshur,Uttar Pradesh,Muzaffarnagar,
Scissors Square (Nagpur),919897657241,"JB CoMadhya Pradeshlex, Hazipur, Sector 104, Noida, Uttar Pradesh 201304",Maharashtra,Nagpur,
First Look Beauty Salon (Bangalore),919897571531,Kharar,Karnataka,Bangalore,
Face Stories By Shruti (Bangalore),919897537937,Lajpat nagar,Karnataka,Bangalore,
Punjab Sales (Muzaffarnagar),919897439212,Bogadhi,Uttar Pradesh,Muzaffarnagar,
Elegance Beauty Zone (Ambikapur),919897194375,Sararpura c road,Chhattisgarh,Ambikapur,
Jasleen Bp (Abbigeri),919897021300,Dwarika puri,Karnataka,Abbigeri,
Angel Beauty Parlour (Bakhtawarpur),919896164916,Gopal mandir opp tajinder electrical,Delhi,Bakhtawarpur,
Daisy Makeover (Amritsar),919896105548,C 66 gaUTam nagar,Punjab,Amritsar,
Gradute Salon (Nagpur),919895788366,Anjanapura,Maharashtra,Nagpur,
Modern Salon (moradabad),919895641999,Anant nagar,Uttar Pradesh,moradabad,
Villa Hair Sense Salon (Other),919895394133,Shankarnagar,Punjab,Other,
Addore Salon (Muzaffarnagar),919894410669,Pusharthi colony,Uttar Pradesh,Muzaffarnagar,
Bhatia'S Unisex Salon (Bareilly),919893864646,"Milanpally main road, Siliguri 
",Uttar Pradesh,Bareilly,
Meddona Salon (Kanpur),919892763530,"Purana Panna Naka , Jain Mandir , Chhatarpur",Uttar Pradesh,Kanpur,
Glamzone Studio Salon (Nagpur),919892678356,MarUTi estate crossing,Maharashtra,Nagpur,
Balaji Beauty Point (Nagpur),919891629071,Sec 44,Maharashtra,Nagpur,
Shruti Make Over (Dhanbad),919891559000,Kamri road opp sec 15,Jharkhand,Dhanbad,
